Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Unit Code,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Status,Energy Source 1,Energy Source 2,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year
17166,Sierra Pacific Power Co,8224,North Valmy,NV,Humboldt,2,ST,,289.8,268.0,268.0,OP,BIT,SUB,5,1985, , 
14165,NRG Power Midwest LP,8226,Cheswick Power Plant,PA,Allegheny,1,ST,,637.0,563.0,563.0,OP,BIT,NG,6,1970, , 
19173,Colorado Energy Nations Company LLLP,10003,Colorado Energy Nations Company,CO,Jefferson,GEN1,ST,,7.5,10.0,10.0,OP,BIT,NG,9,1976, , 
19173,Colorado Energy Nations Company LLLP,10003,Colorado Energy Nations Company,CO,Jefferson,GEN2,ST,,7.5,10.0,10.0,OP,BIT,NG,5,1977, , 
19173,Colorado Energy Nations Company LLLP,10003,Colorado Energy Nations Company,CO,Jefferson,GEN3,ST,,20.0,20.0,20.0,OP,BIT,NG,6,1983, , 
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,17TG,ST,,15.0,15.0,15.0,OP,BIT,RFO,12,1968, , 
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,22TG,ST,,12.5,12.5,12.5,OP,BIT,RFO,8,1954, , 
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,41TG,ST,,25.6,25.6,25.6,OP,BIT,NG,5,1964, , 
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,42TG,ST,,25.6,25.6,25.6,OP,BIT,NG,8,1967, , 
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,43TG,ST,,25.6,25.6,25.6,OP,BIT,NG,4,1969, , 
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,44TG,ST,,25.6,25.6,25.6,OP,BIT,DFO,8,1987, , 
9788,John Deere Harvester Works Co,10039,John Deere Harvester Works,IL,Rock Island,GEN6,ST,,2.5,2.5,2.5,OS,BIT,NG,11,1960,1,2016
9788,John Deere Harvester Works Co,10039,John Deere Harvester Works,IL,Rock Island,GEN7,ST,,0.9,0.8,0.8,OP,BIT,NG,12,2003,1,2016
14932,US Operating Services Company,10043,Logan Generating Company LP,NJ,Gloucester,GEN1,ST,,242.3,219.0,219.0,OP,BIT,DFO,9,1994, , 
56217,Portsmouth Operating Services LLC,10071,Portsmouth Genco LLC,VA,PORTSMOUTH CITY,GEN1,ST,,57.4,57.5,57.5,OP,BIT,,6,1988,9,2015
56217,Portsmouth Operating Services LLC,10071,Portsmouth Genco LLC,VA,PORTSMOUTH CITY,GEN2,ST,,57.4,57.5,57.5,OP,BIT,,6,1988,9,2015
12647,"ALLETE, Inc.",10075,Taconite Harbor Energy Center,MN,Cook,GEN1,ST,,84.0,79.0,79.0,OP,SUB,BIT,1,1957, , 
12647,"ALLETE, Inc.",10075,Taconite Harbor Energy Center,MN,Cook,GEN2,ST,,84.0,75.9,75.9,OP,SUB,BIT,1,1957, , 
12647,"ALLETE, Inc.",10075,Taconite Harbor Energy Center,MN,Cook,GEN3,ST,,84.0,83.6,83.6,OP,SUB,BIT,1,1967,5,2015
7199,Gilberton Power Co,10113,John B Rich Memorial Power Station,PA,Schuylkill,GEN1,ST,,88.4,80.0,80.0,OP,WC,,2,1988, , 
9379,"Inter-Power/AhlCon Partners, L.P.",10143,Colver Power Project,PA,Cambria,COLV,ST,,118.0,110.0,110.0,OP,WC,PG,2,1995, , 
49967,"Decorative Panels International, Inc.",10149,Decorative Panels Intl,MI,Alpena,GEN1,ST,,7.5,6.8,7.2,OP,BIT,NG,11,1957, , 
563,American Bituminous Power LP,10151,Grant Town Power Plant,WV,Marion,GEN1,ST,,95.7,80.0,80.0,OP,WC,NG,7,1992, , 
9686,RockTenn-Jackson Fenandina,10202,Fernandina Beach Mill,FL,Nassau,GEN5,ST,,44.0,30.0,30.0,OP,BIT,BLQ,1,1988, , 
9686,RockTenn-Jackson Fenandina,10202,Fernandina Beach Mill,FL,Nassau,GEN6,ST,,74.4,50.0,50.0,OP,BIT,BLQ,9,1982, , 
109,Ag Processing Inc,10223,AG Processing Inc,IA,Wright,E.C.,ST,,8.5,8.5,8.5,SB,SUB,,1,1982, , 
55965,NewPage Corporation,10234,Biron Mill,WI,Wood,GEN1,ST,,17.0,15.3,15.3,OP,SUB,NG,9,1964, , 
55965,NewPage Corporation,10234,Biron Mill,WI,Wood,GEN3,ST,,7.5,7.5,7.5,OP,SUB,WDS,9,1947, , 
55965,NewPage Corporation,10234,Biron Mill,WI,Wood,GEN4,ST,,15.6,12.5,12.5,OP,BIT,,10,1957, , 
55965,NewPage Corporation,10234,Biron Mill,WI,Wood,GEN5,ST,,21.5,20.0,20.0,OP,SUB,NG,2,1987, , 
54880,P H  Glatfelter Company,10244,P H Glatfelter Co -Chillicothe Facility,OH,Ross,T-13,ST,,27.2,18.3,17.1,OP,BIT,BLQ,7,1978, , 
13657,Norfork Southern Corp,10302,Juniata Locomotive Shop,PA,Blair,GEN1,ST,,2.0,0.4,0.5,OP,BIT,,8,1955, , 
13657,Norfork Southern Corp,10302,Juniata Locomotive Shop,PA,Blair,GEN2,ST,,2.0,0.3,0.7,OP,BIT,,8,1955, , 
